ID,100_initial_infections_at,Name,Beijing_100_infections_time,distance_from_Beijing,population,Longitude,Latitude
445200,Jieyangshi_445200,Jieyang,83,4449125.04824565,6336187.793626308,116.1127842950196,23.338529950486585
445300,Yunfushi_445300,Yunfu,83,4117770.8240354354,2511605.9878525734,111.77961748333963,22.814236775426085
450100,Nanningshi_450100,NanNing,71,3807110.7678854433,7067225.240400791,108.53861554182306,23.068722629311623
450200,Liuzhoushi_450200,Liuzhou,77,3708733.2042057416,4127042.5390398502,109.4402990006803,24.87338745847175
450300,Guilinshi_450300,Guilin,70,3758691.657261409,4869520.525184631,110.49846910261095,25.373320939080568
450400,Wuzhoushi_450400,Wuzhou,82,3942505.5546136596,2974327.4746541977,110.98158335513695,23.50058142660596
450500,Beihaishi_450500,Beihai,69,4064718.6740489267,1548265.4762935638,109.30248177032963,21.696799288884616
450600,Fangchenggangshi_450600,Fangchenggang,73,3933065.913327489,833572.4546432494,107.97955672342857,21.89228536474424
450700,Qinzhoushi_450700,Qinzhou,81,3976583.752251784,3087334.731133461,109.01679152070496,22.200402108458945
450800,Guigangshi_450800,Guigang,84,3945473.246718744,4407420.146422625,109.99552743959248,23.32919150621436
451000,Baiseshi_451000,Baise,82,3481327.2613129835,3526983.7660713196,106.28459080671752,23.98916078380861
451100,Hezhoushi_451100,Hezhou,82,3951374.140322159,1972415.910815239,111.33935171900596,24.369003679364887
451200,Hechishi_451200,Hechi,81,3585750.6647324115,3087079.5809650416,107.8351894082528,24.659503040438146
451300,Laibinshi_451300,Laibin,82,3816778.9493854214,2008876.0480716228,109.25607118838504,23.816184082169343
451400,Chongzuoshi_451400,Chongzuo,81,3781691.5863795835,2342881.208982229,107.32497984887556,22.591547764358463
460100,Haikoushi_460100,Haikou,60,4310984.240836686,2549099.66312027,110.42747073195906,19.826634447441048
460200,Sanyashi_460200,Sanya,50,4379569.666485081,903601.2514772415,109.41726483893818,18.39383180894825
460300,Sanshashi_460300,Sansha,86,4337394.974345399,572989.1273856163,110.76908622932177,19.74494326707202
460400,Danzhoushi_460400,Danzhou,69,4261090.495055288,968346.8938102722,109.40219832713603,19.566198494540952
469001,Wuzhishanshi_469001,Wuzhishan City,62,4348900.84327472,78911.68664693832,109.4908484450277,18.839302985043293
469002,Qionghaishi_469002,Qionghai City,61,4384886.175011123,512305.7664246559,110.39858658074564,19.209806787173164
469006,Wanningshi_469006,Wanning City,62,4403332.843633092,573878.7792634964,110.2799722808325,18.836306735112956
469007,Dongfangshi_469007,Dongfang City,68,4273218.09264777,410633.8650999069,108.84172611691766,18.99262051923584
469021,Dinganxian_469021,Ding'an County,69,4344466.911100795,292580.4767489433,110.31129770045543,19.48711559332338
469022,Tunchangxian_469022,Tunchang County,71,4345714.913006515,276019.15508651733,110.05357216089023,19.34545045784072
469023,Chengmaixian_469023,Chengmai County,65,4296708.42524792,493273.071185112,109.98474677362316,19.687913760589105
469024,Lingaoxian_469024,Lingao County,70,4275967.65322075,443321.9559688568,109.71331480695571,19.800490578251743
469025,Baishalizuzizhixian_469025,Baisha Li Autonomous County,71,4283454.222261511,179411.28216171265,109.34741091476869,19.209367646576606
469026,Changjianglizuzizhixian_469026,Changjiang Li Autonomous County,70,4269151.349051472,238027.4786567688,109.00131794943164,19.21465812053071
469027,Ledonglizuzizhixian_469027,Ledong Li Autonomous County,65,4330320.983966313,469440.90321063995,109.0506876682945,18.650078028135198
469028,Lingshuilizuzizhixian_469028,Lingshui Li Autonomous County,55,4396028.704281633,331835.668905735,109.93469742044037,18.571721216306383
469029,Baotinglizumiaozuzizhixian_469029,Baoting Li and Miao Autonomous County,63,4387052.161343826,191801.36883544922,109.64180558020433,18.601161376725248
469030,Qiongzhonglizumiaozuzizhixian_469030,Qiongzhong Li and Miao Autonomous County,70,4332863.090233547,185959.19765472412,109.85111470153552,19.03514457550434
500000,Chongqingshi_500000,Chongqing Municipality,66,3058829.685052716,27165270.085970875,107.85666114864604,30.047581398441984
510100,Chengdushi_510100,Chengdu,62,2797098.9643136524,17751779.347988844,103.83854306346973,30.700710569968678
510300,Zigongshi_510300,Zigong,77,3001836.2332749576,2330002.3104758263,104.69489654610102,29.277078932797625
510400,Panzhihuashi_510400,Panzhihua,79,3011136.543008598,1349030.7313456538,101.73572260976303,26.823537983218035
510500,Luzhoushi_510500,Luzhou,77,3122955.8741653017,4304963.202692032,105.66844853717495,28.4286960853023
510600,Deyangshi_510600,Deyang,72,2801618.2744597127,3477987.6077637672,104.4447005425795,31.12984550628567
510700,Mianyangshi_510700,Mianyang,68,2687583.670486138,4170227.3617116213,104.7102781454282,31.852871800121182
